2011-02-18 17:00:38.359; Race Status: Initialized; 
2011-02-18 17:04:58.515; Pit out detected; Heinz; Laps: 5; Penalties: 0; Fuel: 47,78; Speed Sum: 734; LapTime: 00:11.59; 
2011-02-18 17:04:58.671; Lap added; Mannie; Laps: 5; Penalties: 0; Fuel: 71,64; Speed Sum: 768; LapTime: 00:11.10; 
2011-02-18 17:04:59.078; Lap added; Tobi; Laps: 6; Penalties: 0; Fuel: 50,84; Speed Sum: 1024; LapTime: 00:11.39; 
2011-02-18 17:04:59.296; Lap added; Heinz; Laps: 6; Penalties: 0; Fuel: 47,3; Speed Sum: 776; LapTime: 00:13.12; 
2011-02-18 17:05:07.703; Lap added; Uwe; Laps: 6; Penalties: 0; Fuel: 58,3; Speed Sum: 936; LapTime: 00:10.15; 
2011-02-18 17:05:09.562; Lap added; Heinz; Laps: 7; Penalties: 0; Fuel: 38,94; Speed Sum: 846; LapTime: 00:10.17; 
2011-02-18 17:05:10.796; Lap added; Mannie; Laps: 6; Penalties: 0; Fuel: 66,42; Speed Sum: 810; LapTime: 00:11.54; 
2011-02-18 17:05:10.796; Lap added; Tobi; Laps: 7; Penalties: 0; Fuel: 41,79; Speed Sum: 1080; LapTime: 00:11.26; 
2011-02-18 17:05:17.640; Lap added; Uwe; Laps: 7; Penalties: 0; Fuel: 50,45; Speed Sum: 936; LapTime: 00:10.21; 
2011-02-18 17:05:20.125; Lap added; Heinz; Laps: 8; Penalties: 0; Fuel: 30,39; Speed Sum: 843; LapTime: 00:10.64; 
2011-02-18 17:05:21.640; Lap added; Mannie; Laps: 7; Penalties: 0; Fuel: 61,08; Speed Sum: 828; LapTime: 00:11.42; 
2011-02-18 17:05:22.421; Lap added; Tobi; Laps: 8; Penalties: 0; Fuel: 32,54; Speed Sum: 1104; LapTime: 00:11.62; 
2011-02-18 17:05:27.421; Lap added; Uwe; Laps: 8; Penalties: 0; Fuel: 42,13; Speed Sum: 992; LapTime: 00:09.92; 
2011-02-18 17:05:28.765; Lap added; Heinz; Laps: 9; Penalties: 0; Fuel: 21,95; Speed Sum: 807; LapTime: 00:08.65; 
2011-02-18 17:05:30.812; Low fuel detected; Heinz; Laps: 9; Penalties: 0; Fuel: 19,95; Speed Sum: 195; LapTime: 00:08.65; 
2011-02-18 17:05:33.140; Lap added; Mannie; Laps: 8; Penalties: 0; Fuel: 55,97; Speed Sum: 792; LapTime: 00:11.39; 
2011-02-18 17:05:33.265; Lap added; Tobi; Laps: 9; Penalties: 0; Fuel: 23,68; Speed Sum: 1056; LapTime: 00:11.43; 
2011-02-18 17:05:37.578; Lap added; Uwe; Laps: 9; Penalties: 0; Fuel: 34,42; Speed Sum: 920; LapTime: 00:10.04; 
2011-02-18 17:05:37.906; Pit in detected; Heinz; Laps: 9; Penalties: 0; Fuel: 14,3; Speed Sum: 720; LapTime: 00:08.65; 
2011-02-18 17:05:37.937; Low fuel detected; Tobi; Laps: 9; Penalties: 0; Fuel: 19,99; Speed Sum: 432; LapTime: 00:11.43; 
2011-02-18 17:05:42.265; Refueled; Heinz; Laps: 9; Penalties: 0; Fuel: 100; Speed Sum: 720; LapTime: 00:08.65; 
2011-02-18 17:05:43.031; Pit out detected; Heinz; Laps: 9; Penalties: 0; Fuel: 99,95; Speed Sum: 728; LapTime: 00:08.65; 
2011-02-18 17:05:43.546; Finished; Heinz; Laps: 10; Penalties: 0; Fuel: 99,36; Speed Sum: 782; LapTime: 00:14.78; 
2011-02-18 17:05:43.546; Lap added; Heinz; Laps: 10; Penalties: 0; Fuel: 99,36; Speed Sum: 782; LapTime: 00:14.78; 
2011-02-18 17:05:44.562; Lap added; Mannie; Laps: 9; Penalties: 0; Fuel: 51,33; Speed Sum: 720; LapTime: 00:11.42; 
2011-02-18 17:05:44.562; Finished; Tobi; Laps: 10; Penalties: 0; Fuel: 15,64; Speed Sum: 960; LapTime: 00:11.29; 
2011-02-18 17:05:44.578; Lap added; Tobi; Laps: 10; Penalties: 0; Fuel: 15,64; Speed Sum: 960; LapTime: 00:11.29; 
2011-02-18 17:05:47.468; Finished; Uwe; Laps: 10; Penalties: 0; Fuel: 27,65; Speed Sum: 808; LapTime: 00:09.98; 
