TimeStamp: 2018-11-21 21:14:49.946; Race Status: Initialized; EventId: 0; 
TimeStamp: 2018-11-21 21:16:00.241; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.272; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.300; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.340; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.380; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.411; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.441; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.481; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.511; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.545; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.574; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.620; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.654; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.685; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.715; Lap detected but not added due minimum lap time; EventId: 6; Driver: Steg; Laps: 1; Penalties: 0; LapTime: 12:00:04.604; Position: 1; 
TimeStamp: 2018-11-21 21:16:00.751; Lap added; EventId: 5; Driver: Steg; Laps: 2; Penalties: 0; LapTime: 12:00:02.820; Position: 1; 
TimeStamp: 2018-11-21 21:16:02.401; Lap added; EventId: 5; Driver: Bernd; Laps: 1; Penalties: 0; LapTime: 12:00:05.444; Position: 2; 
TimeStamp: 2018-11-21 21:16:50.934; Lap added; EventId: 5; Driver: Mannie; Laps: 1; Penalties: 0; LapTime: 12:01:01.000; Position: 3; 
TimeStamp: 2018-11-21 21:16:51.367; Lap added; EventId: 5; Driver: Bernd; Laps: 2; Penalties: 0; LapTime: 12:00:48.964; Position: 2; 
TimeStamp: 2018-11-21 21:17:02.158; Lap added; EventId: 5; Driver: Steg; Laps: 3; Penalties: 0; LapTime: 12:01:01.407; Position: 1; 
TimeStamp: 2018-11-21 21:17:27.133; Lap added; EventId: 5; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:36.198; Position: 3; 
TimeStamp: 2018-11-21 21:17:28.273; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:36.198; Position: 3; 
TimeStamp: 2018-11-21 21:17:33.430; Lap added; EventId: 5; Driver: Steg; Laps: 4; Penalties: 0; LapTime: 12:00:31.272; Position: 1; 
TimeStamp: 2018-11-21 21:17:33.508; Lap added; EventId: 5; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:00:06.375; Position: 2; 
TimeStamp: 2018-11-21 21:17:34.905; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:00:06.375; Position: 2; 
TimeStamp: 2018-11-21 21:17:41.995; Lap added; EventId: 5; Driver: Mannie; Laps: 4; Penalties: 0; LapTime: 12:00:08.486; Position: 2; 
TimeStamp: 2018-11-21 21:17:48.418; Lap added; EventId: 5; Driver: Mannie; Laps: 5; Penalties: 0; LapTime: 12:00:06.422; Position: 1; 
TimeStamp: 2018-11-21 21:17:49.119; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 5; Penalties: 0; LapTime: 12:00:06.422; Position: 1; 
TimeStamp: 2018-11-21 21:17:49.145; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 5; Penalties: 0; LapTime: 12:00:06.422; Position: 1; 
TimeStamp: 2018-11-21 21:17:54.346; Lap added; EventId: 5; Driver: Mannie; Laps: 6; Penalties: 0; LapTime: 12:00:05.928; Position: 1; 
TimeStamp: 2018-11-21 21:18:00.388; Lap added; EventId: 5; Driver: Mannie; Laps: 7; Penalties: 0; LapTime: 12:00:06.041; Position: 1; 
TimeStamp: 2018-11-21 21:18:01.152; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 7; Penalties: 0; LapTime: 12:00:06.041; Position: 1; 
TimeStamp: 2018-11-21 21:18:01.182; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 7; Penalties: 0; LapTime: 12:00:06.041; Position: 1; 
TimeStamp: 2018-11-21 21:18:05.819; Lap added; EventId: 5; Driver: Steg; Laps: 5; Penalties: 0; LapTime: 12:00:32.388; Position: 2; 
TimeStamp: 2018-11-21 21:18:06.212; Lap added; EventId: 5; Driver: Mannie; Laps: 8; Penalties: 0; LapTime: 12:00:05.823; Position: 1; 
TimeStamp: 2018-11-21 21:18:11.788; Lap added; EventId: 5; Driver: Steg; Laps: 6; Penalties: 0; LapTime: 12:00:05.968; Position: 2; 
TimeStamp: 2018-11-21 21:18:12.218; Lap added; EventId: 5; Driver: Mannie; Laps: 9; Penalties: 0; LapTime: 12:00:06.006; Position: 1; 
TimeStamp: 2018-11-21 21:18:13.072; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 9; Penalties: 0; LapTime: 12:00:06.006; Position: 1; 
TimeStamp: 2018-11-21 21:18:17.774; Lap added; EventId: 5; Driver: Steg; Laps: 7; Penalties: 0; LapTime: 12:00:05.969; Position: 2; 
TimeStamp: 2018-11-21 21:18:18.168; Lap added; EventId: 5; Driver: Mannie; Laps: 10; Penalties: 0; LapTime: 12:00:05.950; Position: 1; 
TimeStamp: 2018-11-21 21:18:18.907; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 10; Penalties: 0; LapTime: 12:00:05.950; Position: 1; 
TimeStamp: 2018-11-21 21:18:18.934; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 10; Penalties: 0; LapTime: 12:00:05.950; Position: 1; 
TimeStamp: 2018-11-21 21:18:23.736; Lap added; EventId: 5; Driver: Steg; Laps: 8; Penalties: 0; LapTime: 12:00:05.977; Position: 2; 
TimeStamp: 2018-11-21 21:18:24.190; Lap added; EventId: 5; Driver: Mannie; Laps: 11; Penalties: 0; LapTime: 12:00:06.015; Position: 1; 
TimeStamp: 2018-11-21 21:18:25.011; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 11; Penalties: 0; LapTime: 12:00:06.015; Position: 1; 
TimeStamp: 2018-11-21 21:18:25.040; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 11; Penalties: 0; LapTime: 12:00:06.015; Position: 1; 
TimeStamp: 2018-11-21 21:18:25.965; Lap added; EventId: 5; Driver: Bernd; Laps: 3; Penalties: 0; LapTime: 12:01:34.599; Position: 3; 
TimeStamp: 2018-11-21 21:18:29.750; Lap added; EventId: 5; Driver: Steg; Laps: 9; Penalties: 0; LapTime: 12:00:06.014; Position: 2; 
TimeStamp: 2018-11-21 21:18:30.139; Lap added; EventId: 5; Driver: Mannie; Laps: 12; Penalties: 0; LapTime: 12:00:05.945; Position: 1; 
TimeStamp: 2018-11-21 21:18:30.744; Lap added; EventId: 5; Driver: Bernd; Laps: 4; Penalties: 0; LapTime: 12:00:04.778; Position: 3; 
TimeStamp: 2018-11-21 21:18:30.950; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 12; Penalties: 0; LapTime: 12:00:05.945; Position: 1; 
TimeStamp: 2018-11-21 21:18:30.980; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 12; Penalties: 0; LapTime: 12:00:05.945; Position: 1; 
TimeStamp: 2018-11-21 21:18:35.363; Lap added; EventId: 5; Driver: Bernd; Laps: 5; Penalties: 0; LapTime: 12:00:04.618; Position: 3; 
TimeStamp: 2018-11-21 21:18:35.786; Lap added; EventId: 5; Driver: Steg; Laps: 10; Penalties: 0; LapTime: 12:00:06.036; Position: 2; 
TimeStamp: 2018-11-21 21:18:36.300; Lap added; EventId: 5; Driver: Mannie; Laps: 13; Penalties: 0; LapTime: 12:00:06.170; Position: 1; 
TimeStamp: 2018-11-21 21:18:37.125; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 13; Penalties: 0; LapTime: 12:00:06.170; Position: 1; 
TimeStamp: 2018-11-21 21:18:39.396; Lap added; EventId: 5; Driver: Bernd; Laps: 6; Penalties: 0; LapTime: 12:00:04.033; Position: 3; 
TimeStamp: 2018-11-21 21:18:41.806; Lap added; EventId: 5; Driver: Steg; Laps: 11; Penalties: 0; LapTime: 12:00:06.019; Position: 2; 
TimeStamp: 2018-11-21 21:18:42.355; Lap added; EventId: 5; Driver: Mannie; Laps: 14; Penalties: 0; LapTime: 12:00:06.055; Position: 1; 
TimeStamp: 2018-11-21 21:18:43.199; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 14; Penalties: 0; LapTime: 12:00:06.055; Position: 1; 
TimeStamp: 2018-11-21 21:18:43.545; Lap added; EventId: 5; Driver: Bernd; Laps: 7; Penalties: 0; LapTime: 12:00:04.148; Position: 3; 
TimeStamp: 2018-11-21 21:18:47.710; Lap added; EventId: 5; Driver: Steg; Laps: 12; Penalties: 0; LapTime: 12:00:05.904; Position: 2; 
TimeStamp: 2018-11-21 21:18:48.376; Lap added; EventId: 5; Driver: Mannie; Laps: 15; Penalties: 0; LapTime: 12:00:06.020; Position: 1; 
TimeStamp: 2018-11-21 21:18:48.902; Lap added; EventId: 5; Driver: Bernd; Laps: 8; Penalties: 0; LapTime: 12:00:05.357; Position: 3; 
TimeStamp: 2018-11-21 21:18:49.192; Lap detected but not added due minimum lap time; EventId: 6; Driver: Mannie; Laps: 15; Penalties: 0; LapTime: 12:00:06.020; Position: 1; 
TimeStamp: 2018-11-21 21:18:53.107; Lap added; EventId: 5; Driver: Bernd; Laps: 9; Penalties: 0; LapTime: 12:00:04.204; Position: 3; 
TimeStamp: 2018-11-21 21:18:53.717; Lap added; EventId: 5; Driver: Steg; Laps: 13; Penalties: 0; LapTime: 12:00:06.006; Position: 2; 
TimeStamp: 2018-11-21 21:18:54.298; Lap added; EventId: 5; Driver: Mannie; Laps: 16; Penalties: 0; LapTime: 12:00:05.922; Position: 1; 
TimeStamp: 2018-11-21 21:18:58.583; Lap added; EventId: 5; Driver: Bernd; Laps: 10; Penalties: 0; LapTime: 12:00:05.475; Position: 3; 
TimeStamp: 2018-11-21 21:18:59.735; Lap added; EventId: 5; Driver: Steg; Laps: 14; Penalties: 0; LapTime: 12:00:06.018; Position: 2; 
