TimeStamp: 2019-01-14 13:11:46.493; Race Status: Initialized; EventId: 0; 
TimeStamp: 2019-01-14 13:13:42.489; Lap added; EventId: 5; Driver: Kumpe; Laps: 1; Penalties: 0; LapTime: 12:00:04.936; Position: 5; 
TimeStamp: 2019-01-14 13:13:42.891; Lap added; EventId: 5; Driver: Heinz; Laps: 1; Penalties: 0; LapTime: 12:00:04.934; Position: 6; 
TimeStamp: 2019-01-14 13:13:48.625; Lap added; EventId: 5; Driver: Bernd; Laps: 2; Penalties: 0; LapTime: 12:00:07.543; Position: 1; 
TimeStamp: 2019-01-14 13:13:50.336; Lap added; EventId: 5; Driver: Mannie; Laps: 2; Penalties: 0; LapTime: 12:00:08.849; Position: 2; 
TimeStamp: 2019-01-14 13:13:50.940; Lap added; EventId: 5; Driver: Steg; Laps: 2; Penalties: 0; LapTime: 12:00:09.154; Position: 3; 
TimeStamp: 2019-01-14 13:13:51.645; Lap added; EventId: 5; Driver: Christoph; Laps: 2; Penalties: 0; LapTime: 12:00:09.556; Position: 4; 
TimeStamp: 2019-01-14 13:13:52.140; Lap added; EventId: 5; Driver: Kumpe; Laps: 2; Penalties: 0; LapTime: 12:00:09.649; Position: 5; 
TimeStamp: 2019-01-14 13:13:52.751; Lap added; EventId: 5; Driver: Heinz; Laps: 2; Penalties: 0; LapTime: 12:00:09.859; Position: 6; 
TimeStamp: 2019-01-14 13:13:54.663; Lap added; EventId: 5; Driver: Bernd; Laps: 3; Penalties: 0; LapTime: 12:00:06.038; Position: 1; 
TimeStamp: 2019-01-14 13:13:54.663; Finished; EventId: 7; Driver: Bernd; Laps: 3; Penalties: 0; LapTime: 12:00:06.038; Position: 1; 
TimeStamp: 2019-01-14 13:13:55.345; Lap added; EventId: 5; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:00:05.009; Position: 2; 
TimeStamp: 2019-01-14 13:13:55.345; Finished; EventId: 7; Driver: Mannie; Laps: 3; Penalties: 0; LapTime: 12:00:05.009; Position: 2; 
TimeStamp: 2019-01-14 13:13:55.864; Lap added; EventId: 5; Driver: Steg; Laps: 3; Penalties: 0; LapTime: 12:00:04.925; Position: 3; 
TimeStamp: 2019-01-14 13:13:55.864; Finished; EventId: 7; Driver: Steg; Laps: 3; Penalties: 0; LapTime: 12:00:04.925; Position: 3; 
TimeStamp: 2019-01-14 13:13:56.564; Lap added; EventId: 5; Driver: Christoph; Laps: 3; Penalties: 0; LapTime: 12:00:04.919; Position: 4; 
TimeStamp: 2019-01-14 13:13:56.564; Finished; EventId: 7; Driver: Christoph; Laps: 3; Penalties: 0; LapTime: 12:00:04.919; Position: 4; 
TimeStamp: 2019-01-14 13:13:57.045; Lap added; EventId: 5; Driver: Kumpe; Laps: 3; Penalties: 0; LapTime: 12:00:04.905; Position: 5; 
TimeStamp: 2019-01-14 13:13:57.045; Finished; EventId: 7; Driver: Kumpe; Laps: 3; Penalties: 0; LapTime: 12:00:04.905; Position: 5; 
TimeStamp: 2019-01-14 13:13:57.489; Lap added; EventId: 5; Driver: Heinz; Laps: 3; Penalties: 0; LapTime: 12:00:04.736; Position: 6; 
